partnumber,title,category,description,image,retailprice,memberprice,instructionsheet,extralinks,tags
AE0001,GCU-12/24,Glow Timers,Glow Plug Controller / timer. Multi-voltage with crank and temp disable. 4-20 seconds adjustable output,,130.0,,,12 24V|Diesel Glow Plug|Timer,
AE0002,GCU-12/24D,Glow Timers,"Glow Plug Controller - Multi-voltage with crank and temp disable - dual relay output. 4-20 seconds adjustable output initial glow, 60 seconds initial second stage output.",,158.0,,,12 24V|Diesel Glow Plug|Timer,
AE0003,GCU-12/24P,Glow Timers,Glow Plug Controller - Multi-voltage with crank and temp disable - pulse relay on afterglow. Our top seller - helps with visible emissions after startup - custom timeframes can be built if desired.,,158.0,,,12 24V|Diesel Glow Plug|Timer,
AE0004,GT-12,Glow Timers,Glow Plug Controller / timer 12v.,,158.0,,,12 24V|Diesel Glow Plug|Timer,
AE0005,GT-24,Glow Timers,Glow Plug Controller / timer 24v.,,158.0,,,24V|Diesel Glow Plug|Timer,
AE0006,21-5W 3CH,Lighting,"Bulb Simulator. Heatsunk & sealed for all weather use. Available in 12V and 24V load to allow OEM electronics to work without faulting when using LEDS in place of bulbs. Suitable for utility flatdeck LED conversions in place of OEM taillights - eg. Amarok & Ranger - loads equivalent to 21w stop & indicator & 5w tail circuits. Requires 2 per vehicle (one per side).",,64.0,,,,
AE0007,21W2-24,Lighting,Indicator Bulb Simulator. 24V load to simulate filament indicator lamps for LED installations.12V version available on request.,,54.0,,,24V|LED|Heatsink|Unit Runs Hot,
AE0008,HEF-12/24,Lighting,High-Beam Emergency Flasher. Flashes high-beam headlamps in an emergency sequence as required by ambulance & fire service operators.,,443.0,,,24V|Head Lamp,
AE0009,HLW-12/24,Lighting,Headlight Warning Alarm. Triggers an alarm if the ignition is switched off while headlights are on.,,43.0,,,24V|Head Lamp|Alarm,
AE0010,AFC-12,Performance,,,,246.0,,,,
AE0011,SD-301,Performance,,,,331.0,,,,
AE0012,SD-303,Performance,,,,301.0,,,,
AE0013,SD-304,Performance,,,,226.0,,,,
AE0014,SD-403,Performance,,,,301.0,,,,
AE0015,SD-404,Performance,,,,226.0,,,,
AE0016,TFC-12,Sensors,,,,202.0,,,,
AE0017,TP-12/24,Sensors,,,,198.0,,,,
AE0018,WL-12,Sensors,,,,272.0,,,,
AE0019,WL-24,Sensors,,,,272.0,,,,
AE0020,WLP,Sensors,,,,119.0,,,,
AE0021,LRC-12/24,Tacho,,,,257.0,,,,
AE0022,TA-12,Tacho,,,,228.0,,,,
AE0023,TA-12D,Tacho,,,,228.0,,,,
AE0024,TA-24D,Tacho,,,,228.0,,,,
AE0025,TFSR-12/24,Tacho,,,,161.0,,,,
AE0026,MTU-12,Test Equipment,,,,416.0,,,,
AE0027,VCT-08,Test Equipment,,,,423.0,,,,
AE0028,CST-24,Trailer Lighting,,,,156.0,,,,
AE0029,CST-S3,Trailer Lighting,,,,136.0,,,,
AE0030,LR24-12 A,Trailer Lighting,,,,203.0,,,,
AE0031,LR24-12L,Trailer Lighting,,,,151.0,,,,
AE0032,LR24-12LED,Trailer Lighting,,,,208.0,,,,
AE0033,LTI-12,Trailer Lighting,,,,215.0,,,,
AE0034,LTI-A13-7,Trailer Lighting,,,,189.0,,,,
AE0035,LTI-A7-7,Trailer Lighting,,,,176.0,,,,
AE0036,LTI-AW,Trailer Lighting,,,,163.0,,,,
AE0037,LTI-R7-7,Trailer Lighting,,,,192.0,,,,
AE0038,NZ-US / US-NZ INTERFACE,Trailer Lighting,,,,202.0,,,,
AE0039,VMTI-SPU,Trailer Lighting,,,,198.0,,,,
AE0040,VTI-S2,Trailer Lighting,,,,108.0,,,,
AE0041,VTI-TS,Trailer Lighting,,,,127.0,,,,
AE0042,TD-12/24 Auto,Turbo Timers,,,,111.0,,,,
AE0043,TD-12D,Turbo Timers,,,,195.0,,,,
AE0044,TD-24D,Turbo Timers,,,,205.0,,,,
AE0045,TD-24DS,Turbo Timers,,,,205.0,,,,
AE0046,Reducer - Inverter,Voltage Reducers,,,,,,,,
AE0047,VR24-ADJ-2A,Voltage Reducers,,,,90.0,,,,
AE0048,SB-12,Other,,,,149.0,,,,
AE0049,SST 12/24,Other,,,,151.0,,,,
